artist_uri,artist_popularity,artist_followers
spotify:artist:01pKrlgPJhm5dB4lneYAqS,60,305076
spotify:artist:01pbsrLZgBLuMIoU10Ypyb,36,19709
spotify:artist:01q7ajYufxitw2xk6V6Sju,42,188
spotify:artist:01qbSocTDAe2DmKayS89A5,50,61182
spotify:artist:01qe6O86TULkQwNofn1zgs,32,2810
spotify:artist:01qoAqny88NuENEB5M9ZCl,4,51
spotify:artist:01rO83e6LyRcZxn2HQiMh7,9,2389
spotify:artist:01rQIMe0o977bZnCv3ztUs,36,3969
spotify:artist:01rRBWjbIvTFQqdeR352V8,0,208
spotify:artist:01rgao9OzfBm2BOHWJpi1Y,66,3300106
spotify:artist:01sgeuHsummWMm330PtyM5,21,299
spotify:artist:01tarNGsg4dinY1iJPHZBq,43,527
spotify:artist:01ts5a7R3WkeE2oKIouXEK,32,7544
spotify:artist:01uGTwt1kEN1jvAUQvSPU2,15,55
spotify:artist:01uI1SCsA0pLwWa2ENV6Gv,37,31391
spotify:artist:01uTP2IUPKcMQQRsDOXIv6,1,232
spotify:artist:01udy26f60U4sLvs71g2RR,19,2231
spotify:artist:01vSmhUgSriqhRCQOYTad4,28,538
spotify:artist:01veRCzqGIkUMo7L5PyBAD,53,21038
spotify:artist:01vieJHWhg5Vxk57RmfGau,47,10206
spotify:artist:01wJR8orhmzSLT8rO8rM5N,33,4149
spotify:artist:01wXJJ2iH73waMzLrINVY6,32,16633
spotify:artist:01wau5CL3Z1vfJJWkzBkqg,56,415405
spotify:artist:01wwxIe4Qgb0a4PCfzBjsf,28,14758
spotify:artist:01x2ElR5LGoZ3HTwn0u4eH,0,134
spotify:artist:01xiB0IlXMXy3wrrotgDnU,52,151731
spotify:artist:01y8iBZYk8aeNfPsuTVrAt,57,144554
spotify:artist:01yUnjfB9OBtEhhAVacQ3g,1,547
spotify:artist:01zQA436fdUqmEWvljtzxr,42,8992
spotify:artist:020YMlk8jpd2AKUi5B0OK1,37,41080
spotify:artist:021A20H2EVS9igRiNhozcx,33,6178
spotify:artist:021U5Ph1AQMVUndqnLPMkL,27,3619
spotify:artist:021hNAnkFIbyFyL97br6NB,45,870211
spotify:artist:021hNNuXgxXTulgUQ2xnNW,4,285
spotify:artist:021kTgdJSDcXOkT3cvIKyP,0,4119
spotify:artist:022EiWsch2zvty0qBUksDO,51,33870
spotify:artist:022mO8Zbj0IPDhn3bD3Ukm,28,25761
spotify:artist:0234i7h8uu4ZbzSZLV4OQi,6,442
spotify:artist:0234x9nNrcIxRQ51AFqgJx,32,2591
spotify:artist:023YMawCG3OvACmRjWxLWC,55,338403
spotify:artist:0252J27aSxfQGmlvkdwWzh,9,1528
spotify:artist:025Y1MbIKTdJf8l7xXr8AT,30,21
spotify:artist:025l88zq2Nf3Px7o4C86AF,8,283
spotify:artist:026cfb1v6XifVe4poTRAoe,18,2444
spotify:artist:026dq6E7zJ2tWTb3uNM1fz,8,261
spotify:artist:026nk210FPO26xMwpoew70,47,5595
spotify:artist:026v3mvWdRvVdjL67VBySh,49,59314
spotify:artist:027Sv5NE752p3rGITiHQaI,3,53
spotify:artist:027TpXKGwdXP7iwbjUSpV8,72,469532
spotify:artist:027ntpFbzyT1mGw71h1OaZ,33,5431
spotify:artist:0289SkqAn0iOohwm0pIHv3,59,70816
spotify:artist:028AENVWICmqAiAj5xXncO,44,109
spotify:artist:028PtMn9UG3SmzopDEZRBz,0,6
spotify:artist:028lPW2NdWHdSPCkRkcyhd,54,38977
spotify:artist:028oRjxIqjrDjalf9Uf2vw,23,12
spotify:artist:029Mw3yRazj0XYdWr72c61,9,1136
